empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
SAL_000,saludable_Corp_0,Valencia,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_001,saludable_Corp_1,Sevilla,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_002,saludable_Corp_2,Bilbao,Tecnología,Mediana,Mercado,saludable,1.8,1.7,4.3,1.5
SAL_003,saludable_Corp_3,Sevilla,Tecnología,Grande,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_004,saludable_Corp_4,Sevilla,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_005,saludable_Corp_5,Barcelona,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_006,saludable_Corp_6,Bilbao,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_007,saludable_Corp_7,Bilbao,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_008,saludable_Corp_8,Bilbao,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_009,saludable_Corp_9,Sevilla,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_010,saludable_Corp_10,Valencia,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_011,saludable_Corp_11,Bilbao,Tecnología,Micro,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_012,saludable_Corp_12,Sevilla,Tecnología,Grande,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_013,saludable_Corp_13,Barcelona,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_014,saludable_Corp_14,Valencia,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_015,saludable_Corp_15,Barcelona,Tecnología,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_016,saludable_Corp_16,Valencia,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_017,saludable_Corp_17,Sevilla,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_018,saludable_Corp_18,Madrid,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_019,saludable_Corp_19,Valencia,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_020,saludable_Corp_20,Barcelona,Tecnología,Grande,Mercado,saludable,1.8,1.7,4.3,1.5
SAL_021,saludable_Corp_21,Sevilla,Tecnología,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_022,saludable_Corp_22,Valencia,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_023,saludable_Corp_23,Madrid,Tecnología,Mediana,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_024,saludable_Corp_24,Madrid,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_025,saludable_Corp_25,Bilbao,Tecnología,Grande,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_026,saludable_Corp_26,Bilbao,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_027,saludable_Corp_27,Barcelona,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_028,saludable_Corp_28,Valencia,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_029,saludable_Corp_29,Valencia,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_030,saludable_Corp_30,Bilbao,Tecnología,Micro,Jerarquica,saludable,1.8,1.7,4.3,1.5
SAL_031,saludable_Corp_31,Valencia,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_032,saludable_Corp_32,Valencia,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_033,saludable_Corp_33,Madrid,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
SAL_034,saludable_Corp_34,Bilbao,Tecnología,Micro,Mercado,saludable,1.8,1.7,4.3,1.5
SAL_035,saludable_Corp_35,Sevilla,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_036,saludable_Corp_36,Bilbao,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_037,saludable_Corp_37,Sevilla,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_038,saludable_Corp_38,Madrid,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_039,saludable_Corp_39,Barcelona,Tecnología,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_040,saludable_Corp_40,Valencia,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_041,saludable_Corp_41,Madrid,Tecnología,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_042,saludable_Corp_42,Valencia,Tecnología,Grande,Clan,saludable,1.8,1.7,4.3,1.5
SAL_043,saludable_Corp_43,Barcelona,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_044,saludable_Corp_44,Barcelona,Tecnología,Micro,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_045,saludable_Corp_45,Madrid,Tecnología,Pequeña,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_046,saludable_Corp_46,Barcelona,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_047,saludable_Corp_47,Sevilla,Tecnología,Mediana,Adhocracia,saludable,1.8,1.7,4.3,1.5
SAL_048,saludable_Corp_48,Barcelona,Tecnología,Mediana,Clan,saludable,1.8,1.7,4.3,1.5
SAL_049,saludable_Corp_49,Valencia,Tecnología,Pequeña,Clan,saludable,1.8,1.7,4.3,1.5
